name;hq;street;house_number;bus_number;postal_code;place;province;phone;fax;email;url;director_last_name;director_first_name
Hoofdstedelijke Kunstacademie;True;Nieuwland;198;;1000;Brussel;Brussels Hoofdstedelijk Gewest;;;solange.bertrand@brucity.education;www.hoofdstedelijkeacademie.be;BERTRAND;Solange
Hoofdstedelijke Kunstacademie;False;Reper-Vrevenstraat;100;;1020;Brussel;Brussels Hoofdstedelijk Gewest;;; ; ;BERTRAND;Solange
Hoofdstedelijke Kunstacademie;False;Verdunstraat;381;;1130;Brussel;Brussels Hoofdstedelijk Gewest;;; ; ;BERTRAND;Solange
Hoofdstedelijke Kunstacademie;False;Driegatenstraat;2;;1120;Brussel;Brussels Hoofdstedelijk Gewest;;; ; ;BERTRAND;Solange
Hoofdstedelijke Kunstacademie;False;Emile Bockstaellaan;107;;1020;Brussel;Brussels Hoofdstedelijk Gewest;;; ; ;BERTRAND;Solange
GO! muziekacademie Schaarbeek;True;Lambermontlaan;184;;1030;Schaarbeek;Brussels Hoofdstedelijk Gewest;02 241 41 39;02 241 96 43;secretariaat@muziekacademieschaarbeek.be;www.muziekacademieschaarbeek.be;VALCKE;Hilde
GO! muziekacademie Schaarbeek;False;Elzasstraat;19;;3040;Huldenberg;Vlaams-Brabant;;; ; ;VALCKE;Hilde
GO! muziekacademie Schaarbeek;False;Ganspoel;;;3040;Huldenberg;Vlaams-Brabant;;; ; ;VALCKE;Hilde
GO! muziekacademie Schaarbeek;False;Edward Stuckensstraat;125;;1140;Evere;Brussels Hoofdstedelijk Gewest;;; ; ;VALCKE;Hilde
Muziekacademie van het Gemeenschapsonderwijs;True;Oudergemlaan;124;;1040;Etterbeek;Brussels Hoofdstedelijk Gewest;02 733 59 65;02 733 39 45;ma.etterbeek@gmail.com;www.machopin-etterbeek.be;DE CLERCK;Daniël
Muziekacademie van het Gemeenschapsonderwijs;False;Edmond Mesenslaan;2;;1040;Etterbeek;Brussels Hoofdstedelijk Gewest;;; ; ;DE CLERCK;Daniël
Muziekacademie van het Gemeenschapsonderwijs;False;Henri de Brouckèrelaan;16;;1160;Oudergem;Brussels Hoofdstedelijk Gewest;;; ; ;DE CLERCK;Daniël
Muziekacademie van het Gemeenschapsonderwijs;False;Louis Vander Swaelmenlaan;25;;1170;Watermaal-Bosvoorde;Brussels Hoofdstedelijk Gewest;;; ; ;DE CLERCK;Daniël
